review,rating
Doctor Sharath is very cordial and listens to us well. I feel absolutely fine post treatment. Keerthana is very professional and helpful too. I would highly recommend it.,5
"I never imagined I would feel so connected to my nurses, They are not just caregivers; they are like family. Taking pictures with them is a way to express my gratitude and capture these precious moments.she is a super special strong girl is my favourite. All the best to you Shobna prakash with Simi",5
It gives me pleasure to mention about Cytecare hospital Banglore.The medical staff Dr.Surendra Reddy quite helpful and convincing.the medical and paramedical staff are polite & cooperative.Hospital is clean and peaceful.,5
"Great services, great facilities, good food, good treatment, affordable rates",5
"Good services for day care team sushma amulya,mohana ,pooja ,sathya sister,apsiba",5
Dr.suhas has taken care of me very well. Extremely thankful to him and cytecare.,5
Thank u Dr Poovamma for treating me well,5
Hospital facility is awesome... Very good staffs,5
Best cancer centre hospital in Bangalore The doctors and staffs are very co-operative,5
I visit this hospital for my wife ct scan very Nice service in pet ct thank u all team such a wonderful team ur having cytecare thank u somuch. Sister sabeeha who have d1 canualization very smoothly thanks to martina in reception thank u all God bless u. Keep doing good work,5
Nice care pet CT thank u sister sabeeha,5
Excellent,5
"They do not give correct information, but their work is just stupid",1
"I just went to Dr sharath Kote, to address my acidity problem, on searching a better option in google. It all went really wonderful with his very nice diagnosis from the roots. It feels so close with him at any point of time/ doubts. Step by step he treated well to my satisfaction. His staff Ms keerthana also handled the follow ups and consultations very very smoothly. Thanks to both of them. I am under treatment now and felt am in safe hands. In total very nice feeling about my decision to go to them. ????????",5
"I'm from Kenya and here at cytecare hospital I got hope and a new beginning. I was received and treated well by every 1 and I mean every single person gave me there best dr passed on behalf of all staffs thank..mam sagittal, Ashwini,Anusha, mattina paeveez,chakradhar,Rucira,rolwin. I cannot be able to mention all of you but I was given the best service and support. I can and I will recommend others to come here. I will your abasouder in my country Kenya. Be very blessed",5
"Overall experience at the hospital was very good with few minor hiccups to which the staffs attended to. The staffs starting from the doctors, nurses and admin team was very helpful and explained the things in detail so we could take informed decisions. Also a shoutout to Ms Ruchira who helped us at all times to sort out everything at the hospital.",5
"Staff people are very kind and compassionate, their waiting time is very limited and also charges are nominal",5
"my experience with the PET scan team has been all the time very good, especially Shabia has a very good hand, thank you once again.",5
Nice service in pet ct thanks to sabeeha,5
"The staffs were phenomenal and super friendly with patients .Starting from the security at the entrance, who greet and offer their help to the patients is super comforting, the receptionists make things easier, nursing staffs were efficient and always available whenever you need them. Wish I could remember their names.The Doctor DEEPAK G SHIVARATHRE was very understanding and a very positive being, his expertise, willingness to listen and help, and to make sure patient is completely healthy . Another impressing thing was, -Doctor gave his personal number and was available when needed help with any queries.SHYAM the coordinator kept a track and got everything d1 till the post surgery visits .The insurance team got my work d1 hassle free.**Only negative is the pharmacy which is way time consuming for a single thing to buy.** I had to wait 15-20 mins to just pay m1y . It was difficult to stand with my operated painful leg. It was suppose to take a minute or 2 to make the payment.But overall happy as I was treated with respect and kindness at the Cytecare.Every1 in Cytecare deserve a recognition for your excellent attitudes and service.Hygiene is at priority in the hospital.Much obliged.",5
"I had treatment here for breast cancer. Its very good hospital.. Doctors are excellent. They wont compromise with treatments. Dr Poovamma, Dr Prasad Narayan are the doctors treated me and they gave proper guidance and treatment throught out.. Chemo department also has very good staff. Sandya, Pooja, Mohona and all staffs are very co operative and freindly. I am very thankful for the hospitals, doctors and Staffs",5
Very helpful staff and doctors.,5
Dr Harish was good and hospital service is good and Miss Rekha is helping alot in our process,5
Excellent services,5
Excellent staff,5
It was a really nice experience and the staff and doctors are good,5
Amazing team! Takes very good of patients! My special thanks to Dr Ramesh and JannatUL.Keep up the good work!,5
This hospital is very good service and people are very kindly helpfulThanks for everything,5
Dr.akshay is very good and guided me in right way and treated me so well. Excellent service. Thank you cytecare team.,5
Excellent service cytecare hospital daycare staffs are amazing,5
Good experience with the whole team.,5
"Good service, well guided",5
"All doctors caring was superb,all the pecility was superb and food was very NYC in food court Umesh was very NYC he cared lovely tqsmmmm for all,",4
"Every hospital should learn from Cytecare, how to make people feel home, and how to treat people.. How hospital should be.. They are maintaining high standards in every aspect. All staff, doctors, workers, nurses, coordinator, every1 so polite and supportiveAwesome work every1.. And thanks for all you do.",5
Dr. Harish and Rekha has been extremely helpful through out the treatment,5
Very good hospitality and excellent experienced doctors.,5
Dr poovamma and dr harish are excellent in analysing the disease and treating the patient. They are very caring and polite.dr prasad also excellent. Definitely recommend this hospital.,5
Dr Akshay & Dr Pranita looked after the patient with care and hospitality.,5
Very good,5
Staff are very caring and good an friendly,5
Doctors and nurses are very cooperative in my opinion it is 1 of the best hospitals. When ever we call they reply in polite way and guide us in a proper way.,5
"Consulting doctor Harish presently , he give us very clear explanation and attention to the patient and special thanks to coordinator Rekha to make our procedures smooth all the time",5
Good treatment,5
"Good service, HospitalisationThanks",5
"This is sandhiya from sparsh hospital, best service are providing cytecare especially lab was doing best job giving the result on TATRavi sir was helped us lotz..",5
It's good. They helped us do the ultrasound earlier than the appointment time.,4
1 of the best cancer hospital.Best staff. Very clean and hygenic. .,5
All 5 star ratings are paid reviews.. U can find the reviewer has reviewed under his name as 1 or 2 max. reviews... so its a scam and fake ratings.. be aware,1
"Exceptional care and compassion from staff, who provided personalized attention throughout treatment. State-of-the-art facilities and comprehensive services. Accessible scheduling and seamless navigation within the hospital. Supportive environment with counseling and support groups available. Overall, a reassuring and positive experience during a difficult time.",5
"This hospital doesnt deserve the rating, just giving to post this and share my experience.I am deeply saddened to share my family's heartbreaking experience with Dr. Akshay's care. My father M.D Kumar, aged 65, underwent what was supposed to be a routine vocal cord laser surgery with confidence and a smile, trusting in the expertise and assurance provided by Dr. Akshay. However, following the procedure, he unexpectedly slipped into an unconscious state for approximately 4 months before passing away on February 5, 2024. Prior to this surgery, my father had no significant medical history aside from a stroke in 2008, from which he fully recovered within 2 years and lived a healthy, independent life without any complications. Despite the reassurances and numerical explanations provided by Dr. Akshay and his team, the devastating outcome leaves me questioning what went wrong. I implore any1 considering treatment under Dr. Akshay's care to exercise caution and thorough diligence. While success stories may be shared, it is imperative to inquire about any past failures or complications. This experience underscores the importance of advocating for 1's health and seeking transparency from healthcare providers. My hope in sharing this review is to encourage others to ask critical questions and prioritize their well-being before entrusting their care to Dr. Akshay or any medical professional. Attaching photos of my dad on the day he got admitted and the photos of him in the last days, ultimately he s no more but putting this up for others so that they do not lose their loved 1s by blindly trusting the doctors instead put 100 questions to them about the post effects.",1
